class,eps,spearman,jaccard5,pred_preserved
DDoS,0.01,0.5372469635627531,0.25,True
DDoS,0.05,0.5457489878542511,0.25,True
DDoS,0.1,0.5659919028340081,0.1111111111111111,True
DDoS,0.01,0.4244939271255061,0.42857142857142855,True
DDoS,0.05,0.3439271255060729,0.1111111111111111,False
DDoS,0.1,0.42165991902834005,0.25,False
DDoS,0.01,0.33582995951417005,0.42857142857142855,True
DDoS,0.05,0.47246963562753036,0.25,True
DDoS,0.1,0.3376518218623482,0.25,True
DDoS,0.01,0.5532388663967612,0.42857142857142855,True
DDoS,0.05,0.712753036437247,0.25,True
DDoS,0.1,0.6271255060728745,0.6666666666666666,True
DDoS,0.01,0.11720647773279354,0.1111111111111111,True
DDoS,0.05,0.3805668016194332,0.25,True
DDoS,0.1,0.4702429149797571,0.25,True
DDoS,0.01,0.5781376518218623,0.1111111111111111,True
DDoS,0.05,0.4178137651821862,0.25,True
DDoS,0.1,0.4131578947368421,0.1111111111111111,True
DDoS,0.01,0.6109311740890688,0.42857142857142855,True
DDoS,0.05,0.6635627530364372,0.6666666666666666,True
DDoS,0.1,0.40323886639676115,0.42857142857142855,True
DDoS,0.01,0.5137651821862349,0.25,True
DDoS,0.05,0.4210526315789474,0.25,True
DDoS,0.1,0.455668016194332,0.1111111111111111,True
DDoS,0.01,0.5291497975708502,0.1111111111111111,True
DDoS,0.05,0.38866396761133604,0.42857142857142855,True
DDoS,0.1,0.472672064777328,0.42857142857142855,False
DDoS,0.01,0.6546558704453441,0.25,True
DDoS,0.05,0.4850202429149798,0.25,True
DDoS,0.1,0.5008097165991904,0.25,True
DDoS,0.01,0.12044534412955467,0.25,True
DDoS,0.05,0.317004048582996,0.1111111111111111,True
DDoS,0.1,0.33056680161943325,0.42857142857142855,True
DDoS,0.01,0.6431174089068826,0.42857142857142855,True
DDoS,0.05,0.531174089068826,0.25,False
DDoS,0.1,0.5548582995951417,0.25,True
DDoS,0.01,0.6360323886639676,0.25,True
DDoS,0.05,0.5097165991902833,0.42857142857142855,True
DDoS,0.1,0.18947368421052635,0.1111111111111111,True
DDoS,0.01,0.6834008097165992,0.42857142857142855,True
DDoS,0.05,0.6665991902834009,0.25,True
DDoS,0.1,0.5619433198380568,0.25,True
DDoS,0.01,0.5303643724696356,0.1111111111111111,True
DDoS,0.05,0.4034412955465587,0.25,True
DDoS,0.1,0.3856275303643725,0.25,True
DDoS,0.01,0.6623481781376518,0.42857142857142855,True
DDoS,0.05,0.5742914979757084,0.25,True
