class,eps,jaccard5_predclass,pred_preserved
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.25,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,1.0,True
Mirai,0.05,0.6666666666666666,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.25,True
Mirai,0.1,0.6666666666666666,True
Mirai,0.01,0.25,True
Mirai,0.05,0.25,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.6666666666666666,True
Mirai,0.05,0.42857142857142855,False
Mirai,0.1,0.6666666666666666,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.25,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.25,True
Mirai,0.01,0.25,True
Mirai,0.05,0.25,True
Mirai,0.1,0.25,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.25,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.6666666666666666,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.25,True
Mirai,0.05,0.6666666666666666,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.6666666666666666,True
Mirai,0.05,0.42857142857142855,True
Mirai,0.1,0.42857142857142855,True
Mirai,0.01,0.42857142857142855,True
Mirai,0.05,0.25,True
