grouping,class,unit,ig_abs,ig_rank,shap_abs,shap_rank
G2,Recon,icmp,0.0025775772073414,26,0.0050850943662226,16
G2,Recon,igmp,0.0028205402210082,23,4.949661888531409e-05,23
G2,Recon,tot_sum+max+avg+tot_size+num,0.2076421277664664,1,0.5173014746978877,1
G2,Recon,min,0.0169054612922475,15,0.0122179258614778,10
G2,Recon,std+var,0.040651818539008094,10,0.0329077057540416,8
G2,Spoofing,proto_num,0.0323990247031968,10,0.0001917737972689,21
G2,Spoofing,ttl,0.0473658885708233,6,0.0234305057674646,6
G2,Spoofing,rate+iat,0.0574980298812139,5,0.051537983119487596,3
G2,Spoofing,header_len,0.0236057336537163,11,0.0352908857166767,4
G2,Spoofing,fin+fin_cnt,0.0136125132034562,13,0.0035976398794445,13
G2,Spoofing,syn+syn_cnt,0.0122272891177053,14,0.000663248822093,19
G2,Spoofing,rst+rst_cnt,0.0136283436522811,12,0.0018612422281876,17
G2,Spoofing,psh,0.0393546780137882,9,0.0102875847369432,11
G2,Spoofing,ack+ack_cnt,0.1194823202751054,2,0.006053680379409201,12
G2,Spoofing,ece,0.0063947982032297,20,0.0002682799240574,20
G2,Spoofing,cwr,0.0045458730598576,21,0.0,23
