class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
DDoS,dhcp,0.0077874391375947,0.0191235908657311,0.011336151728136401,33,22
DDoS,http,0.0070366490854174,0.0058354666818211,-0.0012011824035963,34,38
DDoS,arp,0.0055501122449144,0.0147016336363125,0.0091515213913981,35,30
DDoS,igmp,0.0054763940981294,0.0206168470519037,0.015140452953774301,36,18
DDoS,icmp,0.0053005738843522,0.015781105969776,0.010480532085423799,37,28
DDoS,ipv,0.0038142714551828,0.0245601137784601,0.0207458423232773,38,12
DDoS,llc,0.0030923455269486,0.0146687512325207,0.011576405705572099,39,31
DoS,iat,0.1012976136816978,0.0806281747288273,-0.020669438952870503,1,3
DoS,tot_size,0.1010468834778236,0.0722989592934206,-0.028747924184403,2,4
DoS,avg,0.0802501074354309,0.070568543606859,-0.009681563828571896,3,5
DoS,max,0.0667852736550707,0.0955080721457964,0.028722798490725704,4,1
DoS,rate,0.0439352787442872,0.0501198313268891,0.0061845525826019,6,7
DoS,min,0.0366718665045337,0.0458635958346227,0.009191729330089,7,8
DoS,ack_cnt,0.0355381592357277,0.019149820657275,-0.0163883385784527,8,15
DoS,syn_cnt,0.0290475217727258,0.0243904611709212,-0.0046570606018046,9,12
DoS,proto_num,0.0281054674305345,0.0911947022037412,0.06308923477320669,10,2
DoS,rst_cnt,0.0276291476152065,0.0163232822437768,-0.011305865371429701,11,20
DoS,std,0.0272194127463517,0.0142973499723133,-0.012922062774038401,12,21
DoS,ack,0.0258176561512275,0.0131685561598068,-0.012649099991420701,13,23
DoS,psh,0.0242595365565671,0.0334505454037073,0.009191008847140202,14,9
DoS,var,0.023635719003548,0.0193833701385867,-0.0042523488649613,15,14
DoS,fin_cnt,0.0218422956386178,0.0187391740752131,-0.0031031215634046982,16,17
DoS,header_len,0.0214033427620485,0.0514220931143211,0.030018750352272604,17,6
DoS,tot_sum,0.0194926871318102,0.0165816830202692,-0.0029110041115410004,18,19
DoS,dns,0.0193914421940216,0.0117130846344722,-0.007678357559549398,19,25
DoS,rst,0.0184111580696621,0.0262136205270692,0.007802462457407101,20,11
DoS,ttl,0.0172930445459076,0.0319833612464152,0.014690316700507602,21,10
DoS,telnet,0.0172232069563983,0.0093939723888132,-0.007829234567585098,22,31
DoS,ece,0.0171793044669903,0.0190996430400233,0.0019203385730330001,23,16
DoS,fin,0.0170216483051069,0.0223676750684758,0.005346026763368903,24,13
DoS,cwr,0.0160649815610186,0.0121870090375331,-0.0038779725234854984,25,24
DoS,syn,0.0149739821603258,0.0141152676544927,-0.0008587145058330994,26,22
DoS,smtp,0.0128104413912487,0.0073241487182848,-0.005486292672963901,27,34
DoS,https,0.011849860320711,0.006849112783065,-0.005000747537646,28,37
DoS,udp,0.0101310738288547,0.0085910392106783,-0.0015400346181763998,29,32
DoS,http,0.0097321673472121,0.0094614764815585,-0.00027069086565359966,30,30
DoS,tcp,0.0077284304933088,0.0095663450552901,0.0018379145619812996,31,29
DoS,dhcp,0.0069268944598313,0.0072176089709849,0.00029071451115359956,32,35
DoS,ipv,0.0067364059630592,0.0167499753310157,0.010013569367956502,33,18
DoS,irc,0.0064424164799808,0.0081243881231273,0.0016819716431464996,34,33
DoS,ssh,0.0064397397250682,0.0104992557139904,0.004059515988922201,35,27
DoS,llc,0.0061006354492628,0.0104551074736304,0.004354472024367601,36,28
DoS,icmp,0.0060075165217731,0.0065392347994746,0.0005317182777015003,37,38
DoS,igmp,0.0055189317368864,0.0115011298037434,0.005982198066857,38,26
DoS,arp,0.0052940076596666,0.0069593288415133,0.0016653211818467,39,36
Mirai,proto_num,0.2177355172518587,0.0863208981515836,-0.13141461910027508,1,5
Mirai,tot_size,0.0915597244124629,0.2175737920531258,0.1260140676406629,2,1
Mirai,max,0.0632583639499928,0.2124252480521201,0.1491668841021273,3,2
Mirai,avg,0.0534049331908863,0.1051653063038172,0.05176037311293089,4,4
Mirai,ttl,0.0372672059366615,0.022268941830748,-0.014998264105913504,5,8
Mirai,min,0.036309240220952,0.1162550879169343,0.0799458476959823,6,3
Mirai,tot_sum,0.0361817420264195,0.0509039748519856,0.014722232825566096,7,6
Mirai,ack_cnt,0.025656133635794,0.0051383047610679,-0.0205178288747261,8,19
Mirai,var,0.0233810515727861,0.0109909539300392,-0.0123900976427469,9,11
Mirai,dns,0.0225152813050054,0.0082181743977838,-0.0142971069072216,10,13
Mirai,telnet,0.0205338200473201,0.0023551381964463,-0.0181786818508738,12,36
Mirai,rst_cnt,0.0192385805101892,0.0035180818454204,-0.015720498664768802,13,25
Mirai,rate,0.0191895774265512,0.0052205491727054,-0.0139690282538458,14,18
